file,artist,album
tcd.jpg,Kanye West,The College Dropout
lr.jpg,Kanye West,Late Registration
"graduation,jpg",Kanye West,Graduation
"heartbreak,jpg",Kanye West,808s and Heartbreak
mbdtf.jpg,Kanye West,My Beautiful Dark Twisted Fantasy
yeezus.jpg,Kanye West,Yeezus
tlop.jpg,Kanye West,The Life of Pablo
ye.jpg,Kanye West,ye 
jik.jpg,Kanye West,JESUS IS KING
donda.jpg,Kanye West,Donda
ksg.jpg,KIDS SEE GHOSTS,KIDS SEE GHOSTS
doris.jpg,Earl Sweatshirt,Doris
idlsidgo.jpg,Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside"
srs.jpg,Earl Sweatshirt,Some Rap Songs
foc.jpg,Earl Sweatshirt,FEET OF CLAY
sick.jpg,Earl Sweatshirt,SICK!
